year,state,state_po,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population
1988,MICHIGAN,MI,"DUKAKIS, MICHAEL",1675783,"BUSH, GEORGE H.W.",1965486,27894,3669163,REPUBLICAN,0,20,20,9217.998
1988,MINNESOTA,MN,"DUKAKIS, MICHAEL",1109471,"BUSH, GEORGE H.W.",962337,24982,2096790,DEMOCRAT,10,0,10,4296.166
1988,MISSISSIPPI,MS,"DUKAKIS, MICHAEL",363921,"BUSH, GEORGE H.W.",557890,9716,931527,REPUBLICAN,0,7,7,2580.352
1988,MISSOURI,MO,"DUKAKIS, MICHAEL",1001619,"BUSH, GEORGE H.W.",1084953,6656,2093228,REPUBLICAN,0,11,11,5081.736
1988,MONTANA,MT,"DUKAKIS, MICHAEL",168936,"BUSH, GEORGE H.W.",190412,6326,365674,REPUBLICAN,0,4,4,800.202
1988,NEBRASKA,NE,"DUKAKIS, MICHAEL",259235,"BUSH, GEORGE H.W.",397956,4274,661465,REPUBLICAN,0,5,5,1571.477
1988,NEVADA,NV,"DUKAKIS, MICHAEL",132738,"BUSH, GEORGE H.W.",206040,4355,343133,REPUBLICAN,0,4,4,1075.022
1988,NEW HAMPSHIRE,NH,"DUKAKIS, MICHAEL",163696,"BUSH, GEORGE H.W.",281537,5292,450525,REPUBLICAN,0,4,4,1082.577
1988,NEW JERSEY,NJ,"DUKAKIS, MICHAEL",1320352,"BUSH, GEORGE H.W.",1743192,36009,3099553,REPUBLICAN,0,16,16,7712.333
1988,NEW MEXICO,NM,"DUKAKIS, MICHAEL",244497,"BUSH, GEORGE H.W.",270341,6549,521387,REPUBLICAN,0,5,5,1490.337
1988,NEW YORK,NY,"DUKAKIS, MICHAEL",3255487,"BUSH, GEORGE H.W.",2838414,391782,6485683,DEMOCRAT,36,0,36,17941.309
1988,NORTH CAROLINA,NC,"DUKAKIS, MICHAEL",890167,"BUSH, GEORGE H.W.",1237258,6945,2134370,REPUBLICAN,0,13,13,6480.594
1988,NORTH DAKOTA,ND,"DUKAKIS, MICHAEL",127739,"BUSH, GEORGE H.W.",166559,2963,297261,REPUBLICAN,0,3,3,655.331
1988,OHIO,OH,"DUKAKIS, MICHAEL",1939629,"BUSH, GEORGE H.W.",2416549,37407,4393585,REPUBLICAN,0,23,23,10798.552
