year,state,state_po,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population
1992,SOUTH DAKOTA,SD,"CLINTON, BILL",124888,"BUSH, GEORGE H.W.",136718,74648,336254,REPUBLICAN,0,3,3,708.698
1992,TENNESSEE,TN,"CLINTON, BILL",933521,"BUSH, GEORGE H.W.",841300,207817,1982638,DEMOCRAT,11,0,11,5013.999
1992,TEXAS,TX,"CLINTON, BILL",2281815,"BUSH, GEORGE H.W.",2496071,1376132,6154018,REPUBLICAN,0,32,32,17650.479
1992,UTAH,UT,"CLINTON, BILL",183429,"BUSH, GEORGE H.W.",322632,237937,743998,REPUBLICAN,0,5,5,1821.498
1992,VERMONT,VT,"CLINTON, BILL",133592,"BUSH, GEORGE H.W.",88122,67987,289701,DEMOCRAT,3,0,3,570.115
1992,VIRGINIA,VA,"CLINTON, BILL",1038650,"BUSH, GEORGE H.W.",1150517,369962,2559129,REPUBLICAN,0,13,13,6383.315
1992,WASHINGTON,WA,"CLINTON, BILL",993037,"BUSH, GEORGE H.W.",731234,563294,2287565,DEMOCRAT,11,0,11,5139.011
1992,WEST VIRGINIA,WV,"CLINTON, BILL",331001,"BUSH, GEORGE H.W.",241974,110702,683677,DEMOCRAT,5,0,5,1805.462
1992,WISCONSIN,WI,"CLINTON, BILL",1041066,"BUSH, GEORGE H.W.",930855,559143,2531064,DEMOCRAT,11,0,11,5004.636
1992,WYOMING,WY,"CLINTON, BILL",68160,"BUSH, GEORGE H.W.",79347,52377,199884,REPUBLICAN,0,3,3,463.491
1996,ALABAMA,AL,"CLINTON, BILL",662165,"DOLE, ROBERT",769044,103140,1534349,REPUBLICAN,0,9,9,4290.403
1996,ALASKA,AK,"CLINTON, BILL",80380,"DOLE, ROBERT",122746,38494,241620,REPUBLICAN,0,3,3,604.918
1996,ARIZONA,AZ,"CLINTON, BILL",653288,"DOLE, ROBERT",622073,129044,1404405,DEMOCRAT,8,0,8,4432.308
1996,ARKANSAS,AR,"CLINTON, BILL",475171,"DOLE, ROBERT",325416,83675,884262,DEMOCRAT,6,0,6,2504.858
1996,CALIFORNIA,CA,"CLINTON, BILL",5119835,"DOLE, ROBERT",3828381,1071253,10019469,DEMOCRAT,54,0,54,31780.829
1996,COLORADO,CO,"CLINTON, BILL",671152,"DOLE, ROBERT",691848,147702,1510702,REPUBLICAN,0,8,8,3812.716
1996,CONNECTICUT,CT,"CLINTON, BILL",735740,"DOLE, ROBERT",483109,173765,1392614,DEMOCRAT,8,0,8,3267.03
1996,DELAWARE,DE,"CLINTON, BILL",140355,"DOLE, ROBERT",99062,31393,270810,DEMOCRAT,3,0,3,727.09
1996,DISTRICT OF COLUMBIA,DC,"CLINTON, BILL",158220,"DOLE, ROBERT",17339,10167,185726,DEMOCRAT,3,0,3,538.273
1996,FLORIDA,FL,"CLINTON, BILL",2546870,"DOLE, ROBERT",2244536,511748,5303154,DEMOCRAT,25,0,25,14426.911
1996,GEORGIA,GA,"CLINTON, BILL",1053849,"DOLE, ROBERT",1080843,164207,2298899,REPUBLICAN,0,13,13,7332.225
1996,HAWAII,HI,"CLINTON, BILL",205012,"DOLE, ROBERT",113943,41165,360120,DEMOCRAT,4,0,4,1184.434
1996,IDAHO,ID,"CLINTON, BILL",165443,"DOLE, ROBERT",256595,69673,491711,REPUBLICAN,0,4,4,1187.706
1996,ILLINOIS,IL,"CLINTON, BILL",2341744,"DOLE, ROBERT",1587021,382626,4311391,DEMOCRAT,22,0,22,11953.003
1996,INDIANA,IN,"CLINTON, BILL",887424,"DOLE, ROBERT",1006693,241314,2135431,REPUBLICAN,0,12,12,5834.908
1996,IOWA,IA,"CLINTON, BILL",620258,"DOLE, ROBERT",492644,121173,1234075,DEMOCRAT,7,0,7,2848.473
1996,KANSAS,KS,"CLINTON, BILL",387659,"DOLE, ROBERT",583245,103396,1074300,REPUBLICAN,0,6,6,2598.266
1996,KENTUCKY,KY,"CLINTON, BILL",636614,"DOLE, ROBERT",623283,128811,1388708,DEMOCRAT,8,0,8,3881.051
1996,LOUISIANA,LA,"CLINTON, BILL",927837,"DOLE, ROBERT",712586,143536,1783959,DEMOCRAT,9,0,9,4338.763
1996,MAINE,ME,"CLINTON, BILL",312788,"DOLE, ROBERT",186378,106731,605897,DEMOCRAT,4,0,4,1241.436
1996,MARYLAND,MD,"CLINTON, BILL",966207,"DOLE, ROBERT",681530,133133,1780870,DEMOCRAT,10,0,10,5057.142
1996,MASSACHUSETTS,MA,"CLINTON, BILL",1571509,"DOLE, ROBERT",718058,266892,2556459,DEMOCRAT,12,0,12,6085.393
1996,MICHIGAN,MI,"CLINTON, BILL",1989653,"DOLE, ROBERT",1481212,377979,3848844,DEMOCRAT,18,0,18,9739.184
1996,MINNESOTA,MN,"CLINTON, BILL",1120380,"DOLE, ROBERT",766395,305717,2192492,DEMOCRAT,10,0,10,4647.723
1996,MISSISSIPPI,MS,"CLINTON, BILL",394022,"DOLE, ROBERT",439838,59997,893857,REPUBLICAN,0,7,7,2709.925
1996,MISSOURI,MO,"CLINTON, BILL",1025935,"DOLE, ROBERT",890016,242114,2158065,DEMOCRAT,11,0,11,5367.888
1996,MONTANA,MT,"CLINTON, BILL",167922,"DOLE, ROBERT",179652,59509,407083,REPUBLICAN,0,3,3,876.656
1996,NEBRASKA,NE,"CLINTON, BILL",236761,"DOLE, ROBERT",363467,77187,677415,REPUBLICAN,0,5,5,1647.657
1996,NEVADA,NV,"CLINTON, BILL",203974,"DOLE, ROBERT",199244,61061,464279,DEMOCRAT,4,0,4,1596.476
1996,NEW HAMPSHIRE,NH,"CLINTON, BILL",246166,"DOLE, ROBERT",196486,53945,496597,DEMOCRAT,4,0,4,1160.768
1996,NEW JERSEY,NJ,"CLINTON, BILL",1652361,"DOLE, ROBERT",1103099,320400,3075860,DEMOCRAT,15,0,15,8009.624
1996,NEW MEXICO,NM,"CLINTON, BILL",273495,"DOLE, ROBERT",232751,49828,556074,DEMOCRAT,5,0,5,1706.151
1996,NEW YORK,NY,"CLINTON, BILL",3649630,"DOLE, ROBERT",1738707,1050792,6439129,DEMOCRAT,33,0,33,18143.805
1996,NORTH CAROLINA,NC,"CLINTON, BILL",1107849,"DOLE, ROBERT",1225938,182020,2515807,REPUBLICAN,0,14,14,7307.658
1996,NORTH DAKOTA,ND,"CLINTON, BILL",106905,"DOLE, ROBERT",125050,34456,266411,REPUBLICAN,0,3,3,642.858
1996,OHIO,OH,"CLINTON, BILL",2148222,"DOLE, ROBERT",1859883,526329,4534434,DEMOCRAT,21,0,21,11187.032
1996,OKLAHOMA,OK,"CLINTON, BILL",488105,"DOLE, ROBERT",582315,136293,1206713,REPUBLICAN,0,8,8,3289.634
1996,OREGON,OR,"CLINTON, BILL",649641,"DOLE, ROBERT",538152,189967,1377760,DEMOCRAT,7,0,7,3195.087
1996,PENNSYLVANIA,PA,"CLINTON, BILL",2215819,"DOLE, ROBERT",1801169,484319,4501307,DEMOCRAT,23,0,23,12038.008
1996,RHODE ISLAND,RI,"CLINTON, BILL",233050,"DOLE, ROBERT",104683,52514,390247,DEMOCRAT,4,0,4,987.858
1996,SOUTH CAROLINA,SC,"CLINTON, BILL",506152,"DOLE, ROBERT",573339,70691,1150182,REPUBLICAN,0,8,8,3738.974
1996,SOUTH DAKOTA,SD,"CLINTON, BILL",139333,"DOLE, ROBERT",150543,33950,323826,REPUBLICAN,0,3,3,730.699
1996,TENNESSEE,TN,"CLINTON, BILL",909146,"DOLE, ROBERT",863530,121429,1894105,DEMOCRAT,11,0,11,5313.576
1996,TEXAS,TX,"CLINTON, BILL",2459683,"DOLE, ROBERT",2736167,415794,5611644,REPUBLICAN,0,32,32,19006.24
1996,UTAH,UT,"CLINTON, BILL",221633,"DOLE, ROBERT",361911,82085,665629,REPUBLICAN,0,5,5,2022.253
1996,VERMONT,VT,"CLINTON, BILL",137894,"DOLE, ROBERT",80352,40203,258449,DEMOCRAT,3,0,3,586.352
1996,VIRGINIA,VA,"CLINTON, BILL",1091060,"DOLE, ROBERT",1138350,187232,2416642,REPUBLICAN,0,13,13,6665.491
1996,WASHINGTON,WA,"CLINTON, BILL",1123323,"DOLE, ROBERT",840712,289802,2253837,DEMOCRAT,11,0,11,5509.963
1996,WEST VIRGINIA,WV,"CLINTON, BILL",327812,"DOLE, ROBERT",233946,74701,636459,DEMOCRAT,5,0,5,1818.983
1996,WISCONSIN,WI,"CLINTON, BILL",1071971,"DOLE, ROBERT",845029,279169,2196169,DEMOCRAT,11,0,11,5173.828
1996,WYOMING,WY,"CLINTON, BILL",77934,"DOLE, ROBERT",105388,28249,211571,REPUBLICAN,0,3,3,480.085
2000,ALABAMA,AL,"GORE, AL",692611,"BUSH, GEORGE W.",941173,32488,1666272,REPUBLICAN,0,9,9,4452.173
2000,ALASKA,AK,"GORE, AL",79004,"BUSH, GEORGE W.",167398,39158,285560,REPUBLICAN,0,3,3,627.963
2000,ARIZONA,AZ,"GORE, AL",685341,"BUSH, GEORGE W.",781652,65023,1532016,REPUBLICAN,0,8,8,5160.586
2000,ARKANSAS,AR,"GORE, AL",422768,"BUSH, GEORGE W.",472940,26073,921781,REPUBLICAN,0,6,6,2678.588
2000,CALIFORNIA,CA,"GORE, AL",5861203,"BUSH, GEORGE W.",4567429,537190,10965822,DEMOCRAT,54,0,54,33987.977
2000,COLORADO,CO,"GORE, AL",738227,"BUSH, GEORGE W.",883748,119393,1741368,REPUBLICAN,0,8,8,4326.921
2000,CONNECTICUT,CT,"GORE, AL",816015,"BUSH, GEORGE W.",561094,82416,1459525,DEMOCRAT,8,0,8,3411.777
2000,DELAWARE,DE,"GORE, AL",180068,"BUSH, GEORGE W.",137288,10173,327529,DEMOCRAT,3,0,3,786.373
2000,DISTRICT OF COLUMBIA,DC,"GORE, AL",171923,"BUSH, GEORGE W.",18073,11898,201894,DEMOCRAT,3,0,3,572.046
2000,FLORIDA,FL,"GORE, AL",2912253,"BUSH, GEORGE W.",2912790,138067,5963110,REPUBLICAN,0,25,25,16047.515
2000,GEORGIA,GA,"GORE, AL",1116230,"BUSH, GEORGE W.",1419720,47258,2583208,REPUBLICAN,0,13,13,8227.303
2000,HAWAII,HI,"GORE, AL",205286,"BUSH, GEORGE W.",137845,24820,367951,DEMOCRAT,4,0,4,1213.519
2000,IDAHO,ID,"GORE, AL",138637,"BUSH, GEORGE W.",336937,26041,501615,REPUBLICAN,0,4,4,1299.43
2000,ILLINOIS,IL,"GORE, AL",2589026,"BUSH, GEORGE W.",2019421,133661,4742108,DEMOCRAT,22,0,22,12434.161
2000,INDIANA,IN,"GORE, AL",901980,"BUSH, GEORGE W.",1245836,51486,2199302,REPUBLICAN,0,12,12,6091.866
2000,IOWA,IA,"GORE, AL",638517,"BUSH, GEORGE W.",634373,80132,1353022,DEMOCRAT,7,0,7,2929.067
2000,KANSAS,KS,"GORE, AL",399276,"BUSH, GEORGE W.",622332,50608,1072216,REPUBLICAN,0,6,6,2693.681
2000,KENTUCKY,KY,"GORE, AL",638923,"BUSH, GEORGE W.",872520,32663,1544106,REPUBLICAN,0,8,8,4049.021
2000,LOUISIANA,LA,"GORE, AL",792344,"BUSH, GEORGE W.",927871,45441,1765656,REPUBLICAN,0,9,9,4471.885
2000,MAINE,ME,"GORE, AL",319951,"BUSH, GEORGE W.",286616,45250,651817,DEMOCRAT,4,0,4,1277.072
2000,MARYLAND,MD,"GORE, AL",1144008,"BUSH, GEORGE W.",813827,67377,2025212,DEMOCRAT,10,0,10,5311.034
2000,MASSACHUSETTS,MA,"GORE, AL",1616487,"BUSH, GEORGE W.",878502,238975,2733964,DEMOCRAT,12,0,12,6361.104
2000,MICHIGAN,MI,"GORE, AL",2170418,"BUSH, GEORGE W.",1953139,108944,4232501,DEMOCRAT,18,0,18,9952.45
2000,MINNESOTA,MN,"GORE, AL",1168266,"BUSH, GEORGE W.",1109659,160760,2438685,DEMOCRAT,10,0,10,4933.692
2000,MISSISSIPPI,MS,"GORE, AL",404614,"BUSH, GEORGE W.",572844,16726,994184,REPUBLICAN,0,7,7,2848.353
2000,MISSOURI,MO,"GORE, AL",1111138,"BUSH, GEORGE W.",1189924,58830,2359892,REPUBLICAN,0,11,11,5607.285
2000,MONTANA,MT,"GORE, AL",137126,"BUSH, GEORGE W.",240178,33682,410986,REPUBLICAN,0,3,3,903.773
2000,NEBRASKA,NE,"GORE, AL",231780,"BUSH, GEORGE W.",433862,31377,697019,REPUBLICAN,0,5,5,1713.82
2000,NEVADA,NV,"GORE, AL",279978,"BUSH, GEORGE W.",301575,27873,609426,REPUBLICAN,0,4,4,2018.741
2000,NEW HAMPSHIRE,NH,"GORE, AL",266348,"BUSH, GEORGE W.",273559,29174,569081,REPUBLICAN,0,4,4,1239.882
2000,NEW JERSEY,NJ,"GORE, AL",1788850,"BUSH, GEORGE W.",1284173,114203,3187226,DEMOCRAT,15,0,15,8430.621
2000,NEW MEXICO,NM,"GORE, AL",286783,"BUSH, GEORGE W.",286417,25405,598605,DEMOCRAT,5,0,5,1821.204
2000,NEW YORK,NY,"GORE, AL",3942215,"BUSH, GEORGE W.",2258577,759423,6960215,DEMOCRAT,33,0,33,19001.78
2000,NORTH CAROLINA,NC,"GORE, AL",1257692,"BUSH, GEORGE W.",1631163,26135,2914990,REPUBLICAN,0,14,14,8081.614
2000,NORTH DAKOTA,ND,"GORE, AL",95284,"BUSH, GEORGE W.",174852,18120,288256,REPUBLICAN,0,3,3,642.023
2000,OHIO,OH,"GORE, AL",2183628,"BUSH, GEORGE W.",2350363,168007,4701998,REPUBLICAN,0,21,21,11363.543
2000,OKLAHOMA,OK,"GORE, AL",474276,"BUSH, GEORGE W.",744337,15616,1234229,REPUBLICAN,0,8,8,3454.365
2000,OREGON,OR,"GORE, AL",720342,"BUSH, GEORGE W.",713577,100031,1533950,DEMOCRAT,7,0,7,3429.708
2000,PENNSYLVANIA,PA,"GORE, AL",2485967,"BUSH, GEORGE W.",2281127,145091,4912185,DEMOCRAT,23,0,23,12284.173
2000,RHODE ISLAND,RI,"GORE, AL",249508,"BUSH, GEORGE W.",130555,29049,409112,DEMOCRAT,4,0,4,1050.268
2000,SOUTH CAROLINA,SC,"GORE, AL",566037,"BUSH, GEORGE W.",786892,30973,1383902,REPUBLICAN,0,8,8,4024.223
2000,SOUTH DAKOTA,SD,"GORE, AL",118804,"BUSH, GEORGE W.",190700,6765,316269,REPUBLICAN,0,3,3,755.844
2000,TENNESSEE,TN,"GORE, AL",981720,"BUSH, GEORGE W.",1061949,32512,2076181,REPUBLICAN,0,11,11,5703.719
2000,TEXAS,TX,"GORE, AL",2433746,"BUSH, GEORGE W.",3799639,174252,6407637,REPUBLICAN,0,32,32,20944.499
2000,UTAH,UT,"GORE, AL",203053,"BUSH, GEORGE W.",515096,52605,770754,REPUBLICAN,0,5,5,2244.502
2000,VERMONT,VT,"GORE, AL",149022,"BUSH, GEORGE W.",119775,25511,294308,DEMOCRAT,3,0,3,609.618
2000,VIRGINIA,VA,"GORE, AL",1217290,"BUSH, GEORGE W.",1437490,84667,2739447,REPUBLICAN,0,13,13,7105.817
2000,WASHINGTON,WA,"GORE, AL",1247652,"BUSH, GEORGE W.",1108864,130917,2487433,DEMOCRAT,11,0,11,5910.512
2000,WEST VIRGINIA,WV,"GORE, AL",295497,"BUSH, GEORGE W.",336475,16152,648124,REPUBLICAN,0,5,5,1807.021
2000,WISCONSIN,WI,"GORE, AL",1242987,"BUSH, GEORGE W.",1237279,118341,2598607,DEMOCRAT,11,0,11,5373.999
2000,WYOMING,WY,"GORE, AL",60481,"BUSH, GEORGE W.",147947,5298,213726,REPUBLICAN,0,3,3,494.3
2004,ALABAMA,AL,"KERRY, JOHN",693933,"BUSH, GEORGE W.",1176394,13088,1883415,REPUBLICAN,0,9,9,4530.729
2004,ALASKA,AK,"KERRY, JOHN",111025,"BUSH, GEORGE W.",190889,10684,312598,REPUBLICAN,0,3,3,659.286
2004,ARIZONA,AZ,"KERRY, JOHN",893524,"BUSH, GEORGE W.",1104294,14767,2012585,REPUBLICAN,0,10,10,5652.404
2004,ARKANSAS,AR,"KERRY, JOHN",469953,"BUSH, GEORGE W.",572898,12094,1054945,REPUBLICAN,0,6,6,2749.686
2004,CALIFORNIA,CA,"KERRY, JOHN",6745485,"BUSH, GEORGE W.",5509826,166042,12421353,DEMOCRAT,55,0,55,35574.576
2004,COLORADO,CO,"KERRY, JOHN",1001732,"BUSH, GEORGE W.",1101255,26643,2129630,REPUBLICAN,0,9,9,4575.013
2004,CONNECTICUT,CT,"KERRY, JOHN",857488,"BUSH, GEORGE W.",693826,27455,1578769,DEMOCRAT,7,0,7,3496.094
2004,DELAWARE,DE,"KERRY, JOHN",200152,"BUSH, GEORGE W.",171660,3378,375190,DEMOCRAT,3,0,3,830.803
2004,DISTRICT OF COLUMBIA,DC,"KERRY, JOHN",202970,"BUSH, GEORGE W.",21256,3360,227586,DEMOCRAT,3,0,3,567.754
2004,FLORIDA,FL,"KERRY, JOHN",3583544,"BUSH, GEORGE W.",3964522,61744,7609810,REPUBLICAN,0,27,27,17415.318
2004,GEORGIA,GA,"KERRY, JOHN",1366149,"BUSH, GEORGE W.",1914254,21472,3301875,REPUBLICAN,0,15,15,8769.252
2004,HAWAII,HI,"KERRY, JOHN",231708,"BUSH, GEORGE W.",194191,3114,429013,DEMOCRAT,4,0,4,1273.569
2004,IDAHO,ID,"KERRY, JOHN",181098,"BUSH, GEORGE W.",409235,8043,598376,REPUBLICAN,0,4,4,1391.802
2004,ILLINOIS,IL,"KERRY, JOHN",2891550,"BUSH, GEORGE W.",2345946,36826,5274322,DEMOCRAT,21,0,21,12589.773
2004,INDIANA,IN,"KERRY, JOHN",969011,"BUSH, GEORGE W.",1479438,19553,2468002,REPUBLICAN,0,11,11,6233.007
2004,IOWA,IA,"KERRY, JOHN",741898,"BUSH, GEORGE W.",751957,13053,1506908,REPUBLICAN,0,7,7,2953.635
2004,KANSAS,KS,"KERRY, JOHN",434993,"BUSH, GEORGE W.",736456,16307,1187756,REPUBLICAN,0,6,6,2734.373
2004,KENTUCKY,KY,"KERRY, JOHN",712733,"BUSH, GEORGE W.",1069439,13710,1795882,REPUBLICAN,0,8,8,4146.101
2004,LOUISIANA,LA,"KERRY, JOHN",820299,"BUSH, GEORGE W.",1102169,20638,1943106,REPUBLICAN,0,9,9,4552.238
2004,MAINE,ME,"KERRY, JOHN",396842,"BUSH, GEORGE W.",330201,13709,740752,DEMOCRAT,4,0,4,1313.688
2004,MARYLAND,MD,"KERRY, JOHN",1334493,"BUSH, GEORGE W.",1024703,25042,2384238,DEMOCRAT,10,0,10,5546.935
2004,MASSACHUSETTS,MA,"KERRY, JOHN",1803800,"BUSH, GEORGE W.",1071109,52546,2927455,DEMOCRAT,12,0,12,6412.281
2004,MICHIGAN,MI,"KERRY, JOHN",2479183,"BUSH, GEORGE W.",2313746,46323,4839252,DEMOCRAT,17,0,17,10055.315
2004,MINNESOTA,MN,"KERRY, JOHN",1445014,"BUSH, GEORGE W.",1346695,36678,2828387,DEMOCRAT,10,0,10,5087.713
2004,MISSISSIPPI,MS,"KERRY, JOHN",457766,"BUSH, GEORGE W.",672660,9398,1139824,REPUBLICAN,0,6,6,2889.01
2004,MISSOURI,MO,"KERRY, JOHN",1259171,"BUSH, GEORGE W.",1455713,16480,2731364,REPUBLICAN,0,11,11,5747.741
2004,MONTANA,MT,"KERRY, JOHN",173710,"BUSH, GEORGE W.",266063,10661,450434,REPUBLICAN,0,3,3,930.009
2004,NEBRASKA,NE,"KERRY, JOHN",254328,"BUSH, GEORGE W.",512814,11044,778186,REPUBLICAN,0,5,5,1749.37
2004,NEVADA,NV,"KERRY, JOHN",397190,"BUSH, GEORGE W.",418690,13707,829587,REPUBLICAN,0,5,5,2346.222
2004,NEW HAMPSHIRE,NH,"KERRY, JOHN",340511,"BUSH, GEORGE W.",331237,6539,678287,DEMOCRAT,4,0,4,1290.121
2004,NEW JERSEY,NJ,"KERRY, JOHN",1911430,"BUSH, GEORGE W.",1670003,30258,3611691,DEMOCRAT,15,0,15,8634.561
2004,NEW MEXICO,NM,"KERRY, JOHN",370942,"BUSH, GEORGE W.",376930,8432,756304,REPUBLICAN,0,5,5,1903.808
2004,NEW YORK,NY,"KERRY, JOHN",4180755,"BUSH, GEORGE W.",2806993,460518,7448266,DEMOCRAT,31,0,31,19171.567
2004,NORTH CAROLINA,NC,"KERRY, JOHN",1525849,"BUSH, GEORGE W.",1961166,13992,3501007,REPUBLICAN,0,15,15,8553.152
2004,NORTH DAKOTA,ND,"KERRY, JOHN",111052,"BUSH, GEORGE W.",196651,5130,312833,REPUBLICAN,0,3,3,644.705
2004,OHIO,OH,"KERRY, JOHN",2741165,"BUSH, GEORGE W.",2859764,26974,5627903,REPUBLICAN,0,20,20,11452.251
2004,OKLAHOMA,OK,"KERRY, JOHN",503966,"BUSH, GEORGE W.",959792,0,1463758,REPUBLICAN,0,7,7,3525.233
2004,OREGON,OR,"KERRY, JOHN",943163,"BUSH, GEORGE W.",866831,26788,1836782,DEMOCRAT,7,0,7,3569.463
2004,PENNSYLVANIA,PA,"KERRY, JOHN",2938095,"BUSH, GEORGE W.",2793847,37648,5769590,DEMOCRAT,21,0,21,12410.722
2004,RHODE ISLAND,RI,"KERRY, JOHN",259760,"BUSH, GEORGE W.",169046,8328,437134,DEMOCRAT,4,0,4,1074.579
2004,SOUTH CAROLINA,SC,"KERRY, JOHN",661669,"BUSH, GEORGE W.",937974,18057,1617700,REPUBLICAN,0,8,8,4210.921
2004,SOUTH DAKOTA,SD,"KERRY, JOHN",149244,"BUSH, GEORGE W.",232584,6387,388215,REPUBLICAN,0,3,3,770.396
2004,TENNESSEE,TN,"KERRY, JOHN",1036477,"BUSH, GEORGE W.",1384375,16467,2437319,REPUBLICAN,0,11,11,5910.809
2004,TEXAS,TX,"KERRY, JOHN",2832704,"BUSH, GEORGE W.",4526917,51128,7410749,REPUBLICAN,0,34,34,22394.023
2004,UTAH,UT,"KERRY, JOHN",241199,"BUSH, GEORGE W.",663742,22903,927844,REPUBLICAN,0,5,5,2401.58
2004,VERMONT,VT,"KERRY, JOHN",184067,"BUSH, GEORGE W.",121180,7062,312309,DEMOCRAT,3,0,3,619.92
2004,VIRGINIA,VA,"KERRY, JOHN",1454742,"BUSH, GEORGE W.",1716959,23714,3195415,REPUBLICAN,0,13,13,7475.575
2004,WASHINGTON,WA,"KERRY, JOHN",1510201,"BUSH, GEORGE W.",1304894,43989,2859084,DEMOCRAT,11,0,11,6178.645
2004,WEST VIRGINIA,WV,"KERRY, JOHN",326541,"BUSH, GEORGE W.",423778,5473,755792,REPUBLICAN,0,5,5,1816.438
2004,WISCONSIN,WI,"KERRY, JOHN",1489504,"BUSH, GEORGE W.",1478120,29383,2997007,DEMOCRAT,10,0,10,5514.026
2004,WYOMING,WY,"KERRY, JOHN",70776,"BUSH, GEORGE W.",167629,5456,243861,REPUBLICAN,0,3,3,509.106
2008,ALABAMA,AL,"OBAMA, BARACK H.",813479,"MCCAIN, JOHN",1266546,19794,2099819,REPUBLICAN,0,9,9,4718.206
2008,ALASKA,AK,"OBAMA, BARACK H.",123594,"MCCAIN, JOHN",193841,8762,326197,REPUBLICAN,0,3,3,687.455
2008,ARIZONA,AZ,"OBAMA, BARACK H.",1034707,"MCCAIN, JOHN",1230111,28657,2293475,REPUBLICAN,0,10,10,6280.362
2008,ARKANSAS,AR,"OBAMA, BARACK H.",422310,"MCCAIN, JOHN",638017,26290,1086617,REPUBLICAN,0,6,6,2874.554
2008,CALIFORNIA,CA,"OBAMA, BARACK H.",8274473,"MCCAIN, JOHN",5011781,275646,13561900,DEMOCRAT,55,0,55,36604.337
2008,COLORADO,CO,"OBAMA, BARACK H.",1288576,"MCCAIN, JOHN",1073589,39196,2401361,DEMOCRAT,9,0,9,4889.73
2008,CONNECTICUT,CT,"OBAMA, BARACK H.",997772,"MCCAIN, JOHN",629428,19592,1646792,DEMOCRAT,7,0,7,3545.579
2008,DELAWARE,DE,"OBAMA, BARACK H.",255459,"MCCAIN, JOHN",152374,4579,412412,DEMOCRAT,3,0,3,883.874
2008,DISTRICT OF COLUMBIA,DC,"OBAMA, BARACK H.",245800,"MCCAIN, JOHN",17367,2686,265853,DEMOCRAT,3,0,3,580.236
2008,FLORIDA,FL,"OBAMA, BARACK H.",4282074,"MCCAIN, JOHN",4045624,63046,8390744,DEMOCRAT,27,0,27,18527.305
2008,GEORGIA,GA,"OBAMA, BARACK H.",1844123,"MCCAIN, JOHN",2048759,31604,3924486,REPUBLICAN,0,15,15,9504.843
2008,HAWAII,HI,"OBAMA, BARACK H.",325871,"MCCAIN, JOHN",120566,9627,456064,DEMOCRAT,4,0,4,1332.213
2008,IDAHO,ID,"OBAMA, BARACK H.",236440,"MCCAIN, JOHN",403012,15670,655122,REPUBLICAN,0,4,4,1534.32
2008,ILLINOIS,IL,"OBAMA, BARACK H.",3419348,"MCCAIN, JOHN",2031179,71844,5522371,DEMOCRAT,21,0,21,12747.038
2008,INDIANA,IN,"OBAMA, BARACK H.",1374039,"MCCAIN, JOHN",1345648,31367,2751054,DEMOCRAT,11,0,11,6424.806
2008,IOWA,IA,"OBAMA, BARACK H.",828940,"MCCAIN, JOHN",682379,25804,1537123,DEMOCRAT,7,0,7,3016.734
2008,KANSAS,KS,"OBAMA, BARACK H.",514765,"MCCAIN, JOHN",699655,21452,1235872,REPUBLICAN,0,6,6,2808.076
2008,KENTUCKY,KY,"OBAMA, BARACK H.",751985,"MCCAIN, JOHN",1048462,26173,1826620,REPUBLICAN,0,8,8,4289.878
2008,LOUISIANA,LA,"OBAMA, BARACK H.",782989,"MCCAIN, JOHN",1148275,29497,1960761,REPUBLICAN,0,9,9,4435.586
2008,MAINE,ME,"OBAMA, BARACK H.",421923,"MCCAIN, JOHN",295273,13967,731163,DEMOCRAT,4,0,4,1330.509
2008,MARYLAND,MD,"OBAMA, BARACK H.",1629467,"MCCAIN, JOHN",959862,42267,2631596,DEMOCRAT,10,0,10,5684.965
2008,MASSACHUSETTS,MA,"OBAMA, BARACK H.",1904097,"MCCAIN, JOHN",1108854,90044,3102995,DEMOCRAT,12,0,12,6468.967
2008,MICHIGAN,MI,"OBAMA, BARACK H.",2872579,"MCCAIN, JOHN",2048639,80378,5001596,DEMOCRAT,17,0,17,9946.889
2008,MINNESOTA,MN,"OBAMA, BARACK H.",1573354,"MCCAIN, JOHN",1275409,61606,2910369,DEMOCRAT,10,0,10,5247.018
2008,MISSISSIPPI,MS,"OBAMA, BARACK H.",554662,"MCCAIN, JOHN",724597,10606,1289865,REPUBLICAN,0,6,6,2947.806
2008,MISSOURI,MO,"OBAMA, BARACK H.",1441911,"MCCAIN, JOHN",1445814,37480,2925205,REPUBLICAN,0,11,11,5923.916
2008,MONTANA,MT,"OBAMA, BARACK H.",231667,"MCCAIN, JOHN",242763,15679,490109,REPUBLICAN,0,3,3,976.415
2008,NEBRASKA,NE,"OBAMA, BARACK H.",333319,"MCCAIN, JOHN",452979,14983,801281,REPUBLICAN,1,4,5,1796.378
2008,NEVADA,NV,"OBAMA, BARACK H.",533736,"MCCAIN, JOHN",412827,21285,967848,DEMOCRAT,5,0,5,2653.63
2008,NEW HAMPSHIRE,NH,"OBAMA, BARACK H.",384826,"MCCAIN, JOHN",316534,9610,710970,DEMOCRAT,4,0,4,1315.906
2008,NEW JERSEY,NJ,"OBAMA, BARACK H.",2215422,"MCCAIN, JOHN",1613207,39608,3868237,DEMOCRAT,15,0,15,8711.09
2008,NEW MEXICO,NM,"OBAMA, BARACK H.",472422,"MCCAIN, JOHN",346832,10904,830158,DEMOCRAT,5,0,5,2010.662
